name,model,year,price,color,fuelType,carOrigin,carInsurance,gearType,mirrorType,motorPower,drivenKm,passengers,paymentMethod,saleType,secondHandStatus
نيسان,كشكاي,2018,85000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,3000,5,نقدا فقط ,للبيع فقط ,1
بيجو,بارتنر,2008,47000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1690,1690,0,,إمكانية التقسيط ,
اوبل,كورسا,2013,60000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100,5,إمكانية التقسيط ,للبيع أو التبديل ,2
اوبل,اسكونا,1982,13000,خمري,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,5,إمكانية التقسيط ,للبيع فقط ,8
بيجو,406,1998,28000,فضي,بنزين,عمومي,فلسطينية,نصفاوتوماتيك,الكتروني,2000,123456,5,نقدا فقط ,للبيع فقط ,3
كيا,فورتي,2008,47500,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,1,,نقدا فقط ,
داتشيا,واي,2016,75000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,11000,5,نقدا فقط ,للبيع أو التبديل ,1
كيا,سورينتو,2011,118000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,1000,7,نقدا فقط ,للبيع فقط ,
سكودا,اوكتافيا,2010,75000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,165000,5,نقدا فقط ,للبيع فقط ,1
هونداي,اكسنت,2016,63100,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,17000,5,نقدا فقط ,للبيع فقط ,1
فولكسفاجن,جولف,2013,82000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,129000,5,نقدا فقط ,للبيع فقط ,1
سكودا,نيو,2007,53000,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,500000,5,نقدا فقط ,للبيع فقط ,4
كيا,فورتي,2008,59000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,5,نقدا فقط ,للبيع أو التبديل ,1
اوبل,زافيرا,2004,40000,أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,120000,7,نقدا فقط ,للبيع أو التبديل ,3
فورد,ترانزيت,1987,22000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,,5,نقدا فقط ,للبيع أو التبديل ,3
مرسيدس,,1999,70000,أبيضعاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,170,170,3,إمكانية التقسيط ,للبيع فقط ,2
فولكسفاجن,توران,2012,90000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,175000,5,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,جيتا,2013,75000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,108000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
كيا,2012,2012,85000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,68000,5,نقدا فقط ,للبيع فقط ,1
فولكسفاجن,بلس,2006,33000,فضي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,1900,5,إمكانية التقسيط ,للبيع فقط ,9
اوبل,اسكونا,1982,10500,أحمر,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,10800,5,إمكانية التقسيط ,للبيع فقط ,6
فولكسفاجن,باسات,1996,25000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,2,نقدا فقط ,للتبديل فقط ,3
فولكسفاجن,جولف,2006,65000,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,100,5,إمكانية التقسيط ,للبيع أو التبديل ,2
فيات,127,1983,5000,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,يدوي,900,900,5,نقدا فقط ,للبيع فقط ,8
اوبل,كورسا,2011,45000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,141540,5,نقدا فقط ,للبيع فقط ,2
جييب,Compass,2015,140000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,12000,5,نقدا فقط ,للبيع فقط ,1
هونداي,اكسنت,2014,69000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,3,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,بولو,2016,73900,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,32000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
ميتسوبيشي,لاندر,2015,100000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,16000,7,نقدا فقط ,للبيع فقط ,1
اودي,Q7,2012,300000,أسودميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,3000,7,نقدا فقط ,للبيع فقط ,2
اوبل,استرا,1997,21000,ذهبي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,0,إمكانية التقسيط ,للبيع أو التبديل ,4
ميتسوبيشي,لانسر,2014,90000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,24000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
اوبل,استرا,1997,25000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,75000,5,إمكانية التقسيط ,للبيع فقط ,4
هونداي,اكسنت,2014,59000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,55000,5,نقدا فقط ,للبيع فقط ,1
هونداي,i30,2008,55000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,5,إمكانية التقسيط ,للبيع أو التبديل ,2
فولكسفاجن,جولف,2011,85000,أسودميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,1400,6,نقدا فقط ,للبيع أو التبديل ,3
سكودا,اوكتافيا,2010,75000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1009,100,5,إمكانية التقسيط ,للبيع أو التبديل ,2
فولكسفاجن,جيتا,1992,14000,أبيض,بنزين,عمومي,فلسطينية,عادي,الكتروني,1600,180000,5,إمكانية التقسيط ,للتبديل فقط ,6
هونداي,سانتافيه,2006,75000,سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2200,2200,7,إمكانية التقسيط ,للبيع أو التبديل ,2
هونداي,اكسنت,2016,65999,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,1400,2,نقدا فقط ,للبيع فقط ,1
سكودا,اوكتافيا,2015,105000,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100000,4,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,جولف,2005,60000,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,75000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
كيا,بيكانتو,2016,46600,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,51000,5,نقدا فقط ,للبيع فقط ,
اودي,A4,2009,85000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,180000,5,إمكانية التقسيط ,للبيع فقط ,1
نيسان,الميرا,1999,26500,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,150000,5,نقدا فقط ,للبيع فقط ,2
هونداي,H100,1999,65000,أبيضعاجي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2400,2400,3,إمكانية التقسيط ,للتبديل فقط ,
مرسيدس,300,1991,35000,ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,5,نقدا فقط ,للبيع أو التبديل ,3
فولكسفاجن,كادي,2016,127000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,2000,3,نقدا فقط ,للبيع فقط ,1
شفروليه,كروز,2011,57000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,5,إمكانية التقسيط ,للبيع أو التبديل ,1
دايو,ماتيز,2000,19000,أخضر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,9000,9000,2,إمكانية التقسيط ,للبيع أو التبديل ,1
فيات,دوبلو,2012,65000,ذهبي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,90000,7,إمكانية التقسيط ,للبيع أو التبديل ,1
هونداي,,2015,147000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,4,نقدا فقط ,للبيع أو التبديل ,
اوبل,استرا,2005,10000,رصاصي,بنزين,خصوصي,نمرةصفراء,نصفاوتوماتيك,الكتروني,1600,196000,5,نقدا فقط ,للبيع فقط ,3
اوبل,فيكترا,2003,25000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,2200,5,نقدا فقط ,للبيع أو التبديل ,3
سكودا,اوكتافيا,2008,60000,أبيضعاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,244789,5,نقدا فقط ,للبيع أو التبديل ,3
اوبل,استرا,2005,45000,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,170000,5,إمكانية التقسيط ,للبيع فقط ,4
هونداي,الانترا,2007,34000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,120000,5,نقدا فقط ,للبيع فقط ,1
مرسيدس,E270,2002,70000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2700,280000,5,نقدا فقط ,للبيع فقط ,4
هونداي,فيرنا,2007,44000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,9,نقدا فقط ,للبيع فقط ,1
سكودا,اوكتافيا,2005,37000,رمادي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,300000,5,إمكانية التقسيط ,للبيع أو التبديل ,2
بيجو,بارتنر,2014,74000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,7,نقدا فقط ,للبيع أو التبديل ,1
سكودا,فابيا,2010,55000,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120000,5,نقدا فقط ,للبيع أو التبديل ,1
ميتسوبيشي,لاندر,2006,58000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2400,125000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
هونداي,افانتي,2005,40000,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,200,5,نقدا فقط ,للبيع أو التبديل ,4
بيجو,206,2008,35000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,79000,5,نقدا فقط ,للبيع فقط ,4
جييب,سانتافيه,2008,68000,أسودميتالك,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2200,80000,7,إمكانية التقسيط ,للبيع فقط ,
اوبل,فيكترا,2000,32000,رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,15000,5,نقدا فقط ,للبيع أو التبديل ,4
مرسيدس,250,1993,17000,أبيض,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,,8,إمكانية التقسيط ,للبيع أو التبديل ,6
كيا,ريو,2012,43000,أبيضعاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1400,220000,5,نقدا فقط ,للبيع فقط ,5
اوبل,كورسا,2014,52000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,67000,5,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,جولف,2010,74000,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,123,5,إمكانية التقسيط ,للبيع أو التبديل ,4
ميتسوبيشي,باجيرو,2008,140000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,3000,1,,إمكانية التقسيط ,
فولكسفاجن,بولو,1998,30000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,87689,5,نقدا فقط ,للبيع أو التبديل ,9
كيا,برايد,2008,45000,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,80000,5,نقدا فقط ,للبيع فقط ,1
مرسيدس,E200,2014,218000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,35000,5,إمكانية التقسيط ,للبيع فقط ,1
فولكسفاجن,باسات,2006,57000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,5,نقدا فقط ,للبيع فقط ,2
اوبل,كورسا,2015,57500,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,112,5,نقدا فقط ,للبيع أو التبديل ,1
فولكسفاجن,GTI,2006,80000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,200,118000,5,نقدا فقط ,للبيع فقط ,4
سيت,ابيزا,2012,54000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,77000,5,إمكانية التقسيط ,للبيع فقط ,2
كيا,سورينتو,2012,130000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,70000,7,نقدا فقط ,للبيع فقط ,2
كيا,مورننغ,2016,49500,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,18000,5,نقدا فقط ,للبيع فقط ,1
اوبل,استرا,2004,48000,أسودميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,1234,5,إمكانية التقسيط ,للبيع أو التبديل ,5
هونداي,اتوس,1999,23000,سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1000,1000,5,إمكانية التقسيط ,للبيع فقط ,2
ميتسوبيشي,اتراج,2015,75000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,1200,5,إمكانية التقسيط ,للبيع فقط ,1
اوبل,اسكونا,1983,1500,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,1600,0,إمكانية التقسيط ,للتبديل فقط ,6
فولكسفاجن,جولف,2008,65000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,115000,5,إمكانية التقسيط ,للبيع أو التبديل ,3
فولكسفاجن,بولو,2005,37000,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,176000,5,نقدا فقط ,للبيع فقط ,3
داتشيا,واي,2016,65000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,900,30000,5,نقدا فقط ,للبيع فقط ,1
ستروين,C4,2012,55000,فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,105000,5,نقدا فقط ,للبيع فقط ,1
اوبل,كورسا,2016,58000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,50000,5,نقدا فقط ,للبيع فقط ,1
فورد,فيستا,2014,66000,أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,12000,5,نقدا فقط ,للبيع فقط ,2
كيا,ريو,2010,42000,أبيضعاجي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,30000,5,نقدا فقط ,للبيع أو التبديل ,2
هونداي,افانتي,2006,37000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,24489,5,إمكانية التقسيط ,للبيع فقط ,8
سكودا,فابيا,2003,31000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,5,نقدا فقط ,للبيع فقط ,
فولكسفاجن,جولف,2003,46000,كحلي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,5,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,بولو,2016,63000,أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,4000,5,إمكانية التقسيط ,للبيع أو التبديل ,
فولكسفاجن,كادي,2014,90000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,6,,نقدا فقط ,
مرسيدس,250,1991,16000,أبيضعاجي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,,8,إمكانية التقسيط ,للبيع أو التبديل ,3
سكودا,اوكتافيا,2014,86000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,92000,5,نقدا فقط ,للبيع أو التبديل ,1
فولكسفاجن,كادي,2002,20000,أبيضعاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,5,نقدا فقط ,للبيع فقط ,4
سكودا,اوكتافيا,2016,102000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,84000,5,نقدا فقط ,للبيع فقط ,1
كيا,سيراتو,2008,53000,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,5,إمكانية التقسيط ,للبيع أو التبديل ,2
فولكسفاجن,باسات,2006,67500,أسودميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1995,123000,5,إمكانية التقسيط ,للبيع فقط ,2
مرسيدس,416,2004,120000,أبيضعاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,360,7,نقدا فقط ,للبيع فقط ,3
هونداي,H1,2011,50000,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,3000,8,نقدا فقط ,للبيع أو التبديل ,1
فولكسفاجن,باسات,2014,110000,بني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,83000,5,إمكانية التقسيط ,للبيع فقط ,1
كيا,اوبتيما,2014,80000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,5,نقدا فقط ,للبيع أو التبديل ,1
سيت,ليون,2012,65000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,65000,5,نقدا فقط ,للبيع أو التبديل ,2
مرسيدس,240,1983,16000,أبيضعاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1900,,5,إمكانية التقسيط ,للبيع أو التبديل ,2
فورد,فيستا,2015,47500,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1250,50000,5,نقدا فقط ,للبيع فقط ,1
فيات,127,1984,5500,أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,905,125000,5,نقدا فقط ,للبيع أو التبديل ,1
اوبل,كورسا,2014,54000,أبيض,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,82000,4,نقدا فقط ,للبيع أو التبديل ,1
هونداي,جيتس,2008,35000,أزرقسماوي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,130000,5,إمكانية التقسيط ,للبيع أو التبديل ,5
فولكسفاجن,جولف,2015,165000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,45000,5,نقدا فقط ,للبيع أو التبديل ,1
مرسيدس,410,1990,45000,أبيض,ديزل,تجاري,فلسطينية,عادي,يدوي,3000,380000,7,نقدا فقط ,للبيع فقط ,3
سيت,ليون,2014,77000,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,70000,5,نقدا فقط ,للبيع أو التبديل ,2
فورد,موستانغ,2013,160000,بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3700,35000,4,إمكانية التقسيط ,للبيع أو التبديل ,2
هونداي,تراجيت,2007,55000,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,2000,1,نقدا فقط ,للبيع أو التبديل ,2
بيجو,بارتنر,2011,61000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,135000,5,نقدا فقط ,للبيع فقط ,1
فولكسفاجن,جولف,2001,46000,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,5,نقدا فقط ,للبيع أو التبديل ,2
باص,٣٠٩,1986,22000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,2400,,3,إمكانية التقسيط ,للبيع فقط ,4
هونداي,توسان,2014,86000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,55000,5,نقدا فقط ,للبيع فقط ,1
دايو,لانوس,1997,2500,سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,1500,5,نقدا فقط ,للبيع أو التبديل ,4
ميتسوبيشي,لانسر,2013,48000,أبيضعاجي,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1600,9000,5,نقدا فقط ,للبيع فقط ,1
بيجو,بارتنر,2008,39000,أزرقسماوي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,100,5,نقدا فقط ,للبيع أو التبديل ,3
هونداي,فيرنا,2003,30000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,180,5,نقدا فقط ,للبيع فقط ,3
بي,x1,2013,130000,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,18000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فورد,ترانزيت,1990,17000,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,2500,8,نقدا فقط ,للبيع فقط ,5
فورد,ترانزيت,2016,150000,برتقالي,ديزل,عمومي,فلسطينية,عادي,الكتروني,2200,115000,8,إمكانية التقسيط ,للبيع فقط ,1
دراجة,Sym,2016,22000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,250,14000,1,نقدا فقط ,للبيع فقط ,1
سيت,ليون,2014,65000,فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,82000,5,نقدا فقط ,للبيع فقط ,1
بي,318,2002,65000,أسودميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,250000,5,إمكانية التقسيط ,للبيع أو التبديل ,2
اوبل,كورسا,2015,55000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,45000,5,إمكانية التقسيط ,للبيع أو التبديل ,1
سكودا,نيو,2008,54000,رمادي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,45000,5,إمكانية التقسيط ,للبيع أو التبديل ,3
كيا,فورتي,2011,47000,رمادي,بنزين,تأجير,فلسطينية,نصفاوتوماتيك,الكتروني,1600,135,5,نقدا فقط ,للبيع فقط ,2
مرسيدس,412,1996,38500,أبيضعاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2800,2800,3,إمكانية التقسيط ,للبيع أو التبديل ,6
اوبل,كاديت,1982,6000,بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,200,5,نقدا فقط ,للبيع فقط ,5
سوبارو,ليجاسي,1999,35000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,185000,5,نقدا فقط ,للبيع أو التبديل ,4
بيجو,208,2014,60000,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,5,إمكانية التقسيط ,للبيع أو التبديل ,1
فولكسفاجن,GTI,1982,13000,أبيضعاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,13000,5,إمكانية التقسيط ,للبيع فقط ,2
هونداي,توسان,2014,109000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,5,نقدا فقط ,للبيع أو التبديل ,1
هونداي,اكسنت,2013,68000,سكني,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,1600,75000,5,نقدا فقط ,للبيع فقط ,1
ستروين,بيرلينجو,2007,55000,أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,21000,5,نقدا فقط ,للبيع فقط ,2
فولكسفاجن,جولف,2001,48000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,6,نقدا فقط ,للبيع فقط ,5
فولكسفاجن,جولف,2015,110000,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,48000,5,نقدا فقط ,للبيع فقط ,2
هونداي,ix35,2013,98000,خمري,ديزل,خصوصي,فلسطينية,نصفاوتوماتيك,الكتروني,2000,49000,5,نقدا فقط ,للتبديل فقط ,2
هونداي,جيتس,2008,3800,أسود,بنزين,خصوصي,نمرةصفراء,اوتوماتيك,الكتروني,1600,,5,نقدا فقط ,للبيع أو التبديل ,1
جييب,شيروكي,1996,42000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3300,3300,5,نقدا فقط ,للبيع فقط ,1
دايو,لانوس,2001,26000,أسودميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1500,,4,نقدا فقط ,للبيع أو التبديل ,3
كيا,برايد,2015,60000,فيراني,بنزين,تدريبسياقة,فلسطينية,اوتوماتيك,الكتروني,1400,58000,5,نقدا فقط ,للبيع أو التبديل ,1
فولكسفاجن,بولو,2007,47000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,1400,2,إمكانية التقسيط ,للبيع أو التبديل ,2
اوبل,كورسا,2015,54000,رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,39000,5,نقدا فقط ,للبيع فقط ,1
هونداي,الانترا,2007,37000,زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,1600,5,نقدا فقط ,للبيع فقط ,2
بيجو,205,1988,25000,فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,5,نقدا فقط ,للبيع أو التبديل ,1
كيا,سورينتو,2007,60000,أسودميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,,7,نقدا فقط ,للبيع أو التبديل ,4
كيا,ريو,2013,45000,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1400,1400,0,,إمكانية التقسيط ,
سكودا,اوكتافيا,2012,80000,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,120000,5,نقدا فقط ,للبيع أو التبديل ,1
هونداي,i30,2014,75000,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,46000,5,نقدا فقط ,للبيع فقط ,1
كيا,سورينتو,2015,160000,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,60000,7,إمكانية التقسيط ,للبيع أو التبديل ,3
هونداي,سانتافيه,2016,140000,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,17000,7,إمكانية التقسيط ,للبيع أو التبديل ,1
فولفو,7,2013,210000,أبيض,ديزل,تجاري,نمرةصفراء,اوتوماتيك,الكتروني,460,460,2,نقدا فقط ,للبيع فقط ,1
هونداي,توسان,2014,109000,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,43000,5,نقدا فقط ,للبيع أو التبديل ,1
مرسيدس,914,1996,40000,أبيضعاجي,ديزل,تجاري,فلسطينية,عادي,الكتروني,2000,,3,نقدا فقط ,للبيع أو التبديل ,2
سكودا,يتي,2017,112000,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,1400,4,,نقدا فقط ,
هونداي,سوناتا,2009,40000,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,22000,5,إمكانية التقسيط ,للبيع أو التبديل ,3
سكودا,اوكتافيا,2013,90000,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,130000,5,إمكانية التقسيط ,للبيع فقط ,1
بيجو,بارتنر,2008,45000,أبيضعاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,1600,4,نقدا فقط ,للبيع فقط ,1
مرسيدس,S320,2002,83000,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,300000,5,إمكانية التقسيط ,للبيع أو التبديل ,3
بيجو,207,2011,43000,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,100000,5,نقدا فقط ,للبيع أو التبديل ,1
